,Delta,XIRR,DD,CAR/MDD,%
0,50,0.09180644807611399,-0.08203232574369224,1.1191496430682792,100.0
1,50,0.09941874754340166,-0.0797989970078622,1.2458646257622314,125.0
2,50,0.11296154797631737,-0.08436898355342004,1.3388990031483943,150.0
3,50,0.12745660242628692,-0.06928286559590724,1.8396554664710085,175.0
4,50,0.1209760011794874,-0.07404685439297698,1.633776372693037,200.0
5,45,0.06775955496359201,-0.11219352305694363,0.6039524663932763,100.0
6,45,0.08751009053370384,-0.09732211689871584,0.899179891707211,125.0
7,45,0.10493815768041875,-0.0898761939472954,1.167585687283953,150.0
8,45,0.11133978457317441,-0.09224320203865766,1.2070242805156923,175.0
9,45,0.11299645784928466,-0.0908415316200355,1.2438854325124875,200.0
10,40,0.06335897373655106,-0.10493765728284421,0.6037772843144015,100.0
11,40,0.0814340115302868,-0.09305414498757547,0.8751250311435328,125.0
12,40,0.0927765906353712,-0.08178416674376443,1.1344077262050833,150.0
13,40,0.10633020403014154,-0.08056904512677054,1.319740154085696,175.0
14,40,0.09877208754021898,-0.08275609754816393,1.1935324461467478,200.0
15,35,0.048941922274168284,-0.12181568820265765,0.4017702727480098,100.0
16,35,0.0659153937863082,-0.10930111517612429,0.603062408650582,125.0
17,35,0.07998105471737428,-0.0955911092281504,0.8366997240975718,150.0
18,35,0.09908722570839172,-0.08597074867456478,1.1525690683871823,175.0
19,35,0.09353443233524444,-0.08911311791948329,1.0496146304717557,200.0
20,30,0.04944594854236662,-0.11301040643907845,0.437534472270232,100.0
21,30,0.05546657809929415,-0.10126900863667665,0.5477152274521802,125.0
22,30,0.07386276648702209,-0.09179641484815892,0.8046367236585328,150.0
23,30,0.07840909480169102,-0.08471897624203206,0.9255198572948466,175.0
24,30,0.08440829596672811,-0.08123235637155868,1.0390969773256682,200.0
25,25,0.04307766438380815,-0.11670548582032092,0.3691143058187536,100.0
26,25,0.05009497476999047,-0.08440111856589838,0.5935344888927924,125.0
27,25,0.05900431475119934,-0.08571148483444446,0.6884061670984792,150.0
28,25,0.06452801410887953,-0.08054652795743789,0.8011271962334267,175.0
29,25,0.07884347270773,-0.08101664972883627,0.9731761677583568,200.0
30,20,0.03660716441184175,-0.0857385825295377,0.426962556783934,100.0
31,20,0.04996224938144939,-0.07789133004735171,0.6414353093094742,125.0
32,20,0.04951941900303178,-0.07723243250292622,0.6411738876819083,150.0
33,20,0.05205556898103552,-0.07570725637137454,0.6875902189042754,175.0
34,20,0.0616389350772911,-0.07279226273793427,0.8467786651886723,200.0
35,15,0.02499042841885821,-0.06860474127909477,0.36426678321244965,100.0
36,15,0.025660752321448307,-0.06616136808193396,0.38785099319092287,125.0
37,15,0.0355156516072819,-0.06386192269865598,0.5561318874608414,150.0
38,15,0.04526656067397481,-0.06102569616170306,0.7417622988524306,175.0
39,15,0.047196446241916004,-0.05942424680990832,0.7942287664645087,200.0
40,55,0.10264832299662438,-0.08566391597706047,1.1982679267675795,100.0
41,55,0.10980149268334738,-0.07669084212036215,1.4317419087799277,125.0
42,55,0.12261656428067072,-0.07428597152687233,1.650601880279848,150.0
