,Delta,%,XIRR,DD,CAR/MDD
77,70,50,-0.016621879779309127,-0.19075047901427955,-0.08713938683249553
78,70,75,0.022093990615128175,-0.11684221960250585,0.18909252742965127
79,70,100,0.036424168986254724,-0.06281289034854565,0.579883663753392
80,70,125,0.04499434583220193,-0.05842356762673684,0.770140333087273
81,70,150,0.05629993276625317,-0.05729099302365315,0.982701290288496
82,70,175,0.07220312484819143,-0.06736040096078377,1.0718927414079233
83,70,200,0.06607470921849826,-0.09185097926454289,0.7193685875486903
84,75,50,-0.0016299440363973065,-0.18728810644831118,-0.008702869964928327
85,75,75,0.029898767837773378,-0.10751024492741657,0.2781015693709836
86,75,100,0.0424292879972343,-0.0668086276011588,0.6350869568902558
87,75,125,0.05634382886590748,-0.04832190373858358,1.1660101218429155
88,75,150,0.06734452356844042,-0.0630211494961026,1.0686019551675296
89,75,175,0.06347958075773799,-0.07112718976106014,0.8924798093526117
90,75,200,0.05963823346723853,-0.08000374271676836,0.7454430435632442
91,80,50,0.01535971064601731,-0.17121681805678757,0.08970912332293751
92,80,75,0.04724213217127304,-0.10075290936703529,0.4688909974715816
93,80,100,0.047384964885117335,-0.06326156157450447,0.7490324883825555
94,80,125,0.06547840891010552,-0.038375670185437416,1.7062479585034818
95,80,150,0.05920839358165287,-0.05969221714173001,0.9918946961053838
96,80,175,0.050158477195617224,-0.07549240445895589,0.6644175338578288
97,80,200,0.03209535269298586,-0.12405880124118895,0.2587108078739828
98,85,50,0.038501005738707184,-0.14745262096628164,0.26110763909385715
99,85,75,0.06540087461166177,-0.07779274250321766,0.8407066328707549
100,85,100,0.053348270187971135,-0.03794772771977106,1.4058356954051894
101,85,125,0.04634671207375631,-0.028427640759602912,1.6303397269469257
102,85,150,0.039276411823854364,-0.03917966219689151,1.0024693838981218
103,85,175,0.012817537430594212,-0.06238214190179414,0.20546805607881144
104,85,200,0.021583919210264924,-0.08220526873872502,0.26256126330376234
105,90,50,0.046702938663691865,-0.13337330179292273,0.3501670726889817
106,90,75,0.04815168129178404,-0.07694666832866615,0.6257799374251184
107,90,100,0.047406684039721786,-0.03726770058335849,1.2720581977867118
108,90,125,0.03519340425584081,-0.02626882255321339,1.339740454089584
109,90,150,0.029276363450051704,-0.03164265529377097,0.9252182908877092
110,90,175,0.012490946982827341,-0.04403357004519037,0.2836687320607492
111,90,200,0.014178932053361955,-0.05985420846538436,0.23689114628526237
112,95,50,0.08117648781607867,-0.09423853544875116,0.8613937751634956
113,95,75,0.06788596939660255,-0.05747439458286052,1.1811515352063728
114,95,100,0.04862079652346772,-0.04065727523612617,1.195869527436151
115,95,125,0.03623606341434098,-0.028660414088611752,1.264324489601126
116,95,150,0.030408637643746007,-0.03627402523455292,0.8383033712724051
117,95,175,0.023590310184762354,-0.03671907146284725,0.6424538869026489
118,95,200,0.0225943214492641,-0.03654513612857113,0.6182579637895991
